Timestamp,Equity,Cash,Exposure,Realized_PnL,Unrealized_PnL
2026-03-23T18:04:08.792816,1620.094,1539.454,80.64,-1379.906,0.0
2026-03-23T18:04:09.919451,1620.094,1539.454,80.64,-1379.906,0.0
2026-03-23T18:04:11.167842,1620.094,1539.454,80.64,-1379.906,0.0
2026-03-23T18:04:12.277879,1620.094,1539.454,80.64,-1379.906,0.0
2026-03-23T18:04:13.391352,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:14.513222,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:15.637580,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:16.753143,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:17.987580,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:19.123989,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:20.289279,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:21.402830,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:22.523668,1628.4940000000001,1539.454,80.64,-1379.906,8.400000000000007
2026-03-23T18:04:23.643392,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:24.791276,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:26.121880,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:27.313329,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:28.428537,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:29.536703,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:30.642528,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:31.749719,1626.814,1539.454,80.64,-1379.906,6.720000000000006
2026-03-23T18:04:32.899921,1626.814,1539.454,80.64,-1379.906,6.720000000000006
