Timestamp,Symbol,Price,Type,Status
2026-03-22T12:10:49.189971,KXBTCD-26MAR2214-T68999.99 (1h),0.12,MARKET_DATA,REAL
2026-03-22T12:10:50.357073,KXHIGHNY-26MAR22-B62.5 (Market),0.41,MARKET_DATA,REAL
2026-03-22T12:10:50.358588,KXHIGHNY (F),48.92,MARKET_DATA,REAL
2026-03-22T12:10:52.447811,KXHIGHLAX-26MAR22-T75 (Market),0.81,MARKET_DATA,REAL
2026-03-22T12:10:52.449121,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T12:10:54.602501,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T12:10:54.603600,KXHIGHCHI (F),41.0,MARKET_DATA,REAL
2026-03-22T12:10:56.692867,KXHIGHMIA-26MAR22-B81.5 (Market),0.53,MARKET_DATA,REAL
2026-03-22T12:10:56.693264,KXHIGHMIA (F),78.8,MARKET_DATA,REAL
2026-03-22T12:11:00.480981,BTC-USD (Coinbase),68824.36,MARKET_DATA,REAL
2026-03-22T12:11:00.566587,KXBTC15M-26MAR221315-15 (15m),0.63,MARKET_DATA,REAL
2026-03-22T12:11:02.945367,KXBTCD-26MAR2214-T68799.99 (1h),0.56,MARKET_DATA,REAL
2026-03-22T12:11:03.025140,KXBTCD-26MAR2214-T68599.99 (1h),0.93,MARKET_DATA,REAL
2026-03-22T12:11:03.106775,KXBTCD-26MAR2214-T68999.99 (1h),0.12,MARKET_DATA,REAL
2026-03-22T12:11:04.300998,KXHIGHNY-26MAR22-B62.5 (Market),0.41,MARKET_DATA,REAL
2026-03-22T12:11:04.301796,KXHIGHNY (F),48.92,MARKET_DATA,REAL
2026-03-22T12:11:06.333107,KXHIGHLAX-26MAR22-T75 (Market),0.81,MARKET_DATA,REAL
2026-03-22T12:11:06.333925,KXHIGHLAX (F),64.4,MARKET_DATA,REAL
2026-03-22T12:11:08.826724,KXHIGHCHI-26MAR22-T65 (Market),0.99,MARKET_DATA,REAL
2026-03-22T12:11:08.827394,KXHIGHCHI (F),41.0,MARKET_DATA,REAL
2026-03-22T12:11:10.934489,KXHIGHMIA-26MAR22-B81.5 (Market),0.53,MARKET_DATA,REAL
2026-03-22T12:11:10.935129,KXHIGHMIA (F),78.8,MARKET_DATA,REAL
2026-03-22T12:11:14.604020,BTC-USD (Coinbase),68811.15,MARKET_DATA,REAL
2026-03-22T12:11:14.681807,KXBTC15M-26MAR221315-15 (15m),0.44,MARKET_DATA,REAL
2026-03-22T12:11:16.578751,KXBTCD-26MAR2214-T68799.99 (1h),0.5,MARKET_DATA,REAL
2026-03-22T12:11:16.661539,KXBTCD-26MAR2214-T68599.99 (1h),0.91,MARKET_DATA,REAL
2026-03-22T12:11:16.770920,KXBTCD-26MAR2214-T68999.99 (1h),0.1,MARKET_DATA,REAL
